epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.422,1.5228,4.45728,1.39618,0.00171,0.37013,0.00122,0.00073,1.05585,4.02272,1.01811,0.00012,0.00012,0.00012
2,93.2252,1.14706,3.37936,1.03642,0.00435,0.94156,0.18842,0.12235,0.99884,3.78539,0.91656,0.000257426,0.000257426,0.000257426
3,137.599,1.23968,2.26303,1.06396,0.0045,0.97403,0.33016,0.16749,1.13004,3.78457,0.94498,0.00039208,0.00039208,0.00039208
4,181.949,1.22976,2.03908,1.03006,0.00444,0.96104,0.26343,0.12006,1.07969,3.76291,0.93399,0.000523962,0.000523962,0.000523962
5,226.429,1.14722,1.81968,1.03079,0.00447,0.96753,0.14822,0.06106,1.01758,3.78295,0.93089,0.000653072,0.000653072,0.000653072
6,270.779,1.14869,1.65002,1.01495,0.00447,0.96753,0.0347,0.01289,0.99259,3.75344,0.92313,0.00077941,0.00077941,0.00077941
7,315.969,1.08017,1.63767,0.97976,0.0045,0.97403,0.02589,0.00982,1.00486,3.73011,0.94881,0.000902976,0.000902976,0.000902976
8,360.557,1.13402,1.62373,1.00971,0.00453,0.98052,0.04625,0.02089,0.94103,3.61711,0.92387,0.00102377,0.00102377,0.00102377
9,406.747,1.12462,1.54709,1.02792,0.0045,0.97403,0.18239,0.11229,1.06377,3.51024,0.98342,0.00114179,0.00114179,0.00114179
10,451.14,1.18461,1.46127,1.01463,1,0.01271,0.11021,0.07887,1.0916,3.46348,1.00012,0.00125704,0.00125704,0.00125704
11,495.44,1.10478,1.37722,1.05017,0.77022,0.06532,0.18525,0.12752,1.00888,3.3003,1.01647,0.00136952,0.00136952,0.00136952
12,539.837,1.10321,1.33117,1.04381,0.7979,0.05133,0.34793,0.24089,1.03128,3.05702,1.03374,0.00147923,0.00147923,0.00147923
13,584.068,1.0448,1.28422,1.01701,0.7405,0.0974,0.47639,0.32386,1.00856,2.95923,1.04775,0.00158616,0.00158616,0.00158616
14,628.333,1.05563,1.30134,1.02791,0.98373,0.39269,0.81928,0.59614,0.95476,2.5289,1.00918,0.00169032,0.00169032,0.00169032
15,672.716,1.08133,1.31415,1.00469,0.97774,0.57041,0.90582,0.60023,1.10979,2.53717,1.07004,0.0017228,0.0017228,0.0017228
16,716.931,1.06883,1.26123,1.02659,0.89884,0.86544,0.93745,0.6206,1.11677,2.01754,1.07859,0.001703,0.001703,0.001703
17,763.911,1.12886,1.19848,1.03414,0.68686,0.76913,0.77744,0.5225,1.11199,2.03608,1.06016,0.0016832,0.0016832,0.0016832
18,808.394,1.138,1.34712,1.08063,0.49342,0.70206,0.64744,0.42341,1.13974,2.07631,1.03792,0.0016634,0.0016634,0.0016634
19,853.011,1.07069,1.21556,0.99825,0.90272,0.90385,0.96252,0.69422,0.98859,1.54551,0.99762,0.0016436,0.0016436,0.0016436
20,897.394,1.02204,1.09441,1.00046,0.98017,0.96303,0.98811,0.73695,0.94304,1.31258,0.98091,0.0016238,0.0016238,0.0016238
21,942.703,0.98288,1.1016,0.98215,0.97998,0.95359,0.98809,0.72861,0.95072,1.24036,0.98861,0.001604,0.001604,0.001604
22,987.221,0.99153,1.01006,0.95368,0.96329,0.96104,0.98338,0.70394,0.95033,1.32987,0.99639,0.0015842,0.0015842,0.0015842
23,1032.17,0.98215,1.02265,0.95731,0.95505,0.91558,0.97959,0.72667,0.91988,1.44852,0.99245,0.0015644,0.0015644,0.0015644
24,1076.76,0.95164,1.02716,0.9938,0.97529,0.94156,0.98337,0.74136,0.88212,1.27836,0.96397,0.0015446,0.0015446,0.0015446
25,1121.61,0.96828,0.96626,0.95882,0.96419,0.96104,0.98288,0.75264,0.88052,1.18002,0.96538,0.0015248,0.0015248,0.0015248
26,1166.11,1.03676,1.0361,0.98413,0.94832,0.95324,0.97623,0.73405,0.89945,1.14065,0.9766,0.001505,0.001505,0.001505
27,1210.53,0.99852,0.98694,0.99049,0.9665,0.93677,0.97983,0.73185,0.94684,1.087,1.02267,0.0014852,0.0014852,0.0014852
28,1254.66,0.99802,0.99537,0.9625,0.94855,0.95772,0.98129,0.75642,0.83484,1.02954,0.93697,0.0014654,0.0014654,0.0014654
29,1298.85,0.95058,0.9413,0.93303,0.96745,0.96515,0.98913,0.77796,0.79143,0.96591,0.91912,0.0014456,0.0014456,0.0014456
30,1343.19,0.94903,0.90825,0.95646,0.99952,0.97403,0.99444,0.75492,0.88486,0.95596,0.93971,0.0014258,0.0014258,0.0014258
31,1386.86,0.87148,0.85957,0.90816,1,0.96628,0.9938,0.78369,0.80522,0.86964,0.91426,0.001406,0.001406,0.001406
32,1430.63,0.8766,0.87232,0.93258,0.98137,0.96104,0.99237,0.79239,0.77235,0.90137,0.91493,0.0013862,0.0013862,0.0013862
33,1474.39,0.8356,0.85324,0.91668,0.98667,0.96135,0.99163,0.78617,0.806,0.94084,0.92636,0.0013664,0.0013664,0.0013664
34,1519.15,0.80413,0.79444,0.91508,0.99619,0.98052,0.99416,0.80123,0.7871,0.89523,0.91991,0.0013466,0.0013466,0.0013466
35,1563.13,0.82773,0.83286,0.95378,0.99242,0.99351,0.99422,0.80169,0.74181,0.85296,0.90854,0.0013268,0.0013268,0.0013268
36,1606.97,0.91163,0.87171,0.94388,0.98006,1,0.99178,0.78776,0.77423,0.80233,0.91889,0.001307,0.001307,0.001307
37,1650.74,0.88352,0.78965,0.92876,0.98568,1,0.99396,0.78188,0.78949,0.78162,0.92315,0.0012872,0.0012872,0.0012872
38,1694.57,0.82957,0.7432,0.93136,0.99337,0.97284,0.99455,0.79528,0.77183,0.8545,0.92746,0.0012674,0.0012674,0.0012674
39,1738.29,0.8561,0.77604,0.93104,0.99289,0.99351,0.995,0.77553,0.77338,0.91456,0.94046,0.0012476,0.0012476,0.0012476
40,1782.02,0.88624,0.74603,0.92722,0.99288,0.97403,0.99411,0.79765,0.74066,0.84621,0.91666,0.0012278,0.0012278,0.0012278
41,1825.84,0.85507,0.72595,0.9054,0.99002,0.97403,0.99419,0.80906,0.74241,0.82602,0.91569,0.001208,0.001208,0.001208
42,1869.66,0.80599,0.71751,0.92546,0.99338,0.97428,0.99426,0.80415,0.72659,0.8013,0.90299,0.0011882,0.0011882,0.0011882
43,1913.53,0.85658,0.7252,0.92027,0.9805,0.9795,0.99436,0.79801,0.73184,0.73865,0.911,0.0011684,0.0011684,0.0011684
44,1957.31,0.8535,0.74076,0.94328,0.98075,0.99241,0.99435,0.78512,0.76688,0.7522,0.913,0.0011486,0.0011486,0.0011486
45,2001.06,0.77856,0.68985,0.90338,0.98912,0.98701,0.99467,0.82461,0.66802,0.68932,0.89387,0.0011288,0.0011288,0.0011288
46,2044.76,0.789,0.71736,0.9228,0.99352,0.99544,0.995,0.81224,0.71196,0.68269,0.89418,0.001109,0.001109,0.001109
47,2088.63,0.77683,0.67923,0.92452,0.99809,1,0.995,0.82201,0.64383,0.65729,0.87573,0.0010892,0.0010892,0.0010892
48,2133.1,0.73547,0.67531,0.8949,0.98715,0.99775,0.99474,0.84719,0.61244,0.64726,0.87161,0.0010694,0.0010694,0.0010694
49,2176.82,0.72887,0.65671,0.88456,0.99216,0.98052,0.99419,0.85251,0.62236,0.65162,0.87691,0.0010496,0.0010496,0.0010496
50,2220.91,0.74663,0.6853,0.9138,0.9991,0.98052,0.99468,0.85286,0.59466,0.6128,0.85799,0.0010298,0.0010298,0.0010298
51,2264.58,0.68744,0.62739,0.88215,0.9987,0.98701,0.99494,0.85136,0.62513,0.60097,0.8623,0.00101,0.00101,0.00101
52,2308.16,0.73036,0.63646,0.90909,0.99696,0.98701,0.99487,0.84132,0.6251,0.60265,0.86014,0.0009902,0.0009902,0.0009902
53,2352.06,0.70458,0.62323,0.88361,0.99459,0.99351,0.995,0.85185,0.58296,0.59256,0.85388,0.0009704,0.0009704,0.0009704
54,2395.95,0.72018,0.6261,0.89067,0.99812,1,0.995,0.84779,0.5813,0.59067,0.85392,0.0009506,0.0009506,0.0009506
55,2439.75,0.69338,0.62185,0.87247,0.99948,1,0.995,0.83997,0.61264,0.57819,0.86363,0.0009308,0.0009308,0.0009308
56,2483.45,0.69836,0.62449,0.89297,0.99222,1,0.99494,0.83058,0.6558,0.58578,0.86681,0.000911,0.000911,0.000911
57,2527.22,0.68813,0.5919,0.87401,0.99346,1,0.995,0.87114,0.56751,0.56195,0.8466,0.0008912,0.0008912,0.0008912
58,2570.91,0.68354,0.61087,0.88416,0.99837,1,0.995,0.83505,0.65619,0.58439,0.85904,0.0008714,0.0008714,0.0008714
59,2614.76,0.69291,0.58504,0.87851,0.99997,1,0.995,0.8242,0.65648,0.57736,0.87908,0.0008516,0.0008516,0.0008516
60,2658.38,0.6877,0.56969,0.86734,0.99879,1,0.995,0.86519,0.53137,0.5396,0.84267,0.0008318,0.0008318,0.0008318
61,2702.14,0.69326,0.56899,0.86594,0.99873,1,0.995,0.85442,0.56317,0.54048,0.8509,0.000812,0.000812,0.000812
62,2746.67,0.66285,0.56484,0.87639,0.99711,1,0.995,0.86536,0.54089,0.52456,0.84542,0.0007922,0.0007922,0.0007922
63,2790.5,0.66505,0.57011,0.86461,0.98568,1,0.99282,0.8706,0.54679,0.52789,0.84612,0.0007724,0.0007724,0.0007724
64,2834.17,0.63786,0.58811,0.87808,0.97925,1,0.99159,0.86711,0.55427,0.54978,0.84407,0.0007526,0.0007526,0.0007526
65,2877.92,0.65805,0.56514,0.89309,0.98717,0.99932,0.99487,0.84867,0.62229,0.56575,0.85912,0.0007328,0.0007328,0.0007328
66,2921.76,0.6214,0.5427,0.85149,0.99917,0.98701,0.99494,0.87399,0.53524,0.52259,0.8341,0.000713,0.000713,0.000713
67,2965.54,0.64373,0.55245,0.87101,1,0.99263,0.995,0.81021,0.72629,0.55705,0.85616,0.0006932,0.0006932,0.0006932
68,3009.34,0.70048,0.56347,0.87816,1,0.99932,0.995,0.86326,0.53839,0.52066,0.8363,0.0006734,0.0006734,0.0006734
69,3053.08,0.62636,0.53337,0.87176,1,0.99931,0.995,0.867,0.53584,0.51126,0.83593,0.0006536,0.0006536,0.0006536
70,3096.74,0.63657,0.54652,0.85529,0.99883,0.99351,0.995,0.88169,0.51528,0.48934,0.83007,0.0006338,0.0006338,0.0006338
71,3141.05,0.64136,0.51524,0.88279,0.99975,1,0.995,0.88685,0.50978,0.48682,0.8302,0.000614,0.000614,0.000614
